                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3169,                 4.1525,                 2.2764,                0.00084,                0.04762,                0.00521,                 0.0036,                   1.99,                  4.406,                 2.1621,             0.00020006,             0.00020006,             0.00020006
                      2,                 2.3342,                 3.7596,                 2.1778,                0.00127,                0.10053,                0.03018,                 0.0068,                  1.985,                 4.3732,                 2.3746,              0.0004062,              0.0004062,              0.0004062
                      3,                 2.4422,                 3.5576,                 2.2386,                      1,                0.05708,                0.08833,                0.04897,                 1.7367,                 4.0236,                 1.9327,             0.00060386,             0.00060386,             0.00060386
                      4,                 2.4098,                 3.6754,                 2.2721,                0.00189,                0.16402,                0.01256,                0.00824,                 1.6273,                 3.9259,                 1.7326,             0.00079303,             0.00079303,             0.00079303
                      5,                 2.2079,                 3.2825,                  2.053,                0.00575,                0.71429,                0.29464,                0.20725,                 1.4524,                 3.5123,                 1.5355,             0.00097371,             0.00097371,             0.00097371
                      6,                 2.1814,                  3.362,                 2.0069,                0.57899,                0.03439,                0.27391,                0.21248,                 1.4228,                 3.4472,                 1.5765,              0.0011459,              0.0011459,              0.0011459
                      7,                 2.3627,                 3.2953,                 2.1532,                0.94476,                0.10819,                0.31194,                0.24005,                 1.4988,                 3.2149,                 1.5962,              0.0012592,              0.0012592,              0.0012592
                      8,                 2.3345,                 3.2697,                 2.1501,                0.23247,                0.21063,                0.25319,                0.17034,                 1.5538,                 3.2829,                 1.6448,              0.0012592,              0.0012592,              0.0012592
                      9,                 2.4201,                 3.3912,                 2.1775,                 0.2707,                0.34392,                  0.296,                0.19228,                 1.6859,                 3.3674,                 1.7399,              0.0012309,              0.0012309,              0.0012309
                     10,                 2.1404,                 3.0034,                 1.9997,                0.44424,                0.68553,                0.57638,                0.42019,                 1.2684,                 2.5132,                 1.5468,              0.0012026,              0.0012026,              0.0012026
                     11,                 2.2972,                 3.2143,                 2.1221,                0.40858,                0.54389,                0.48163,                0.33451,                 1.3463,                 2.6761,                 1.5531,              0.0011744,              0.0011744,              0.0011744
                     12,                  2.155,                 3.0135,                 2.0238,                0.58745,                0.62434,                0.63039,                0.42992,                 1.4091,                 2.0395,                 1.5511,              0.0011461,              0.0011461,              0.0011461
                     13,                 2.0312,                 2.9038,                 1.9638,                0.57034,                0.66622,                0.63184,                0.46958,                 1.2494,                 1.9975,                 1.4363,              0.0011178,              0.0011178,              0.0011178
                     14,                 2.1447,                 3.1039,                 2.0404,                0.55028,                0.62584,                0.65667,                0.47479,                 1.2947,                 2.2151,                 1.4412,              0.0010895,              0.0010895,              0.0010895
                     15,                 2.2635,                 3.2582,                 2.1263,                0.62371,                0.45124,                0.62262,                0.42778,                 1.3315,                  2.492,                  1.527,              0.0010612,              0.0010612,              0.0010612
                     16,                 2.2361,                 3.3155,                 2.1421,                0.38552,                0.40379,                0.40331,                0.26659,                 1.4339,                 2.8062,                  1.591,              0.0010329,              0.0010329,              0.0010329
                     17,                 2.0255,                 2.9135,                 1.9936,                 0.4464,                0.24603,                0.32767,                0.25081,                 1.5956,                 4.5373,                 1.6942,              0.0010046,              0.0010046,              0.0010046
                     18,                  2.107,                 3.0801,                 1.9985,                0.36586,                 0.4582,                 0.4219,                0.30227,                 1.5244,                 3.7859,                 1.5915,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.8919,                 2.8535,                 1.8569,                0.62689,                0.65344,                0.65824,                0.49278,                 1.2343,                 2.1989,                 1.4232,               0.000948,               0.000948,               0.000948
                     20,                 1.9471,                   2.87,                 1.8916,                 0.6173,                0.62675,                0.66849,                0.52155,                 1.1413,                 1.8684,                 1.3404,              0.0009197,              0.0009197,              0.0009197
                     21,                 2.0215,                 3.0666,                 1.9734,                0.49288,                0.36243,                0.47706,                0.31446,                 1.6772,                 2.5667,                 1.7273,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.9939,                 2.8728,                 1.9267,                0.60725,                0.48288,                0.46957,                 0.3065,                 1.7718,                 2.6438,                 1.8966,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.9354,                 2.7462,                 1.8781,                 0.6561,                0.50545,                 0.6055,                0.41059,                 1.3421,                 2.3128,                 1.5398,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.8763,                 2.7195,                 1.8819,                0.64479,                0.47637,                0.56601,                0.41178,                 1.1461,                 2.2436,                 1.4089,             0.00080653,             0.00080653,             0.00080653
